status,code,url
ORPHAN,3944,https://app.estateweb.gr/app/property/53529

KEEP,2064,https://app.estateweb.gr/app/property/54566
ORPHAN,4064,https://app.estateweb.gr/app/property/53649
ORPHAN,3942,https://app.estateweb.gr/app/property/53527

KEEP,2066,https://app.estateweb.gr/app/property/54565
ORPHAN,4059,https://app.estateweb.gr/app/property/53644
ORPHAN,3937,https://app.estateweb.gr/app/property/53522

KEEP,2080,https://app.estateweb.gr/app/property/54563
ORPHAN,4058,https://app.estateweb.gr/app/property/53643
ORPHAN,3936,https://app.estateweb.gr/app/property/53521

KEEP,2028,https://app.estateweb.gr/app/property/54562
ORPHAN,4057,https://app.estateweb.gr/app/property/53642
ORPHAN,3935,https://app.estateweb.gr/app/property/53520

KEEP,2055,https://app.estateweb.gr/app/property/54561
ORPHAN,4056,https://app.estateweb.gr/app/property/53641
ORPHAN,3934,https://app.estateweb.gr/app/property/53519

KEEP,2024,https://app.estateweb.gr/app/property/54560
ORPHAN,4054,https://app.estateweb.gr/app/property/53639
ORPHAN,3932,https://app.estateweb.gr/app/property/53517

KEEP,2029,https://app.estateweb.gr/app/property/54559
ORPHAN,4053,https://app.estateweb.gr/app/property/53638
ORPHAN,3931,https://app.estateweb.gr/app/property/53516

KEEP,2031,https://app.estateweb.gr/app/property/54558
ORPHAN,4052,https://app.estateweb.gr/app/property/53637
ORPHAN,3930,https://app.estateweb.gr/app/property/53515

KEEP,2032,https://app.estateweb.gr/app/property/54557
ORPHAN,4051,https://app.estateweb.gr/app/property/53636
ORPHAN,3929,https://app.estateweb.gr/app/property/53514

KEEP,2041,https://app.estateweb.gr/app/property/54556
ORPHAN,4050,https://app.estateweb.gr/app/property/53635
ORPHAN,3928,https://app.estateweb.gr/app/property/53513

KEEP,2042,https://app.estateweb.gr/app/property/54555
ORPHAN,4049,https://app.estateweb.gr/app/property/53634
ORPHAN,3927,https://app.estateweb.gr/app/property/53512

KEEP,2070,https://app.estateweb.gr/app/property/54553
ORPHAN,4047,https://app.estateweb.gr/app/property/53632
ORPHAN,3925,https://app.estateweb.gr/app/property/53510

KEEP,1898,https://app.estateweb.gr/app/property/54552
ORPHAN,4153,https://app.estateweb.gr/app/property/53738
ORPHAN,4031,https://app.estateweb.gr/app/property/53616

KEEP,1914,https://app.estateweb.gr/app/property/54551
ORPHAN,4152,https://app.estateweb.gr/app/property/53737
ORPHAN,4030,https://app.estateweb.gr/app/property/53615

KEEP,1923,https://app.estateweb.gr/app/property/54550
ORPHAN,4098,https://app.estateweb.gr/app/property/53683
ORPHAN,3976,https://app.estateweb.gr/app/property/53561

KEEP,1983,https://app.estateweb.gr/app/property/54548
ORPHAN,4090,https://app.estateweb.gr/app/property/53675
ORPHAN,3968,https://app.estateweb.gr/app/property/53553

KEEP,2020,https://app.estateweb.gr/app/property/54547
ORPHAN,4063,https://app.estateweb.gr/app/property/53648
ORPHAN,3941,https://app.estateweb.gr/app/property/53526

KEEP,2067,https://app.estateweb.gr/app/property/54543
ORPHAN,4055,https://app.estateweb.gr/app/property/53640
ORPHAN,3933,https://app.estateweb.gr/app/property/53518

KEEP,1547,https://app.estateweb.gr/app/property/54542
ORPHAN,4161,https://app.estateweb.gr/app/property/53746
ORPHAN,4039,https://app.estateweb.gr/app/property/53624

KEEP,1755,https://app.estateweb.gr/app/property/54538
ORPHAN,4120,https://app.estateweb.gr/app/property/53705
ORPHAN,3998,https://app.estateweb.gr/app/property/53583

KEEP,1789,https://app.estateweb.gr/app/property/54537
ORPHAN,4118,https://app.estateweb.gr/app/property/53703
ORPHAN,3996,https://app.estateweb.gr/app/property/53581

KEEP,1978,https://app.estateweb.gr/app/property/54535
ORPHAN,4093,https://app.estateweb.gr/app/property/53678
ORPHAN,3971,https://app.estateweb.gr/app/property/53556

KEEP,1110,https://app.estateweb.gr/app/property/54534
ORPHAN,4148,https://app.estateweb.gr/app/property/53733
ORPHAN,4026,https://app.estateweb.gr/app/property/53611

KEEP,1469,https://app.estateweb.gr/app/property/54532
ORPHAN,4077,https://app.estateweb.gr/app/property/53662
ORPHAN,3955,https://app.estateweb.gr/app/property/53540

KEEP,1471,https://app.estateweb.gr/app/property/54531
ORPHAN,4076,https://app.estateweb.gr/app/property/53661
ORPHAN,3954,https://app.estateweb.gr/app/property/53539

KEEP,1720,https://app.estateweb.gr/app/property/54529
ORPHAN,4074,https://app.estateweb.gr/app/property/53659
ORPHAN,3952,https://app.estateweb.gr/app/property/53537

KEEP,499,https://app.estateweb.gr/app/property/54528
ORPHAN,4167,https://app.estateweb.gr/app/property/53752
ORPHAN,4045,https://app.estateweb.gr/app/property/53630

KEEP,1738,https://app.estateweb.gr/app/property/54527
ORPHAN,4146,https://app.estateweb.gr/app/property/53731
ORPHAN,4024,https://app.estateweb.gr/app/property/53609

KEEP,1359,https://app.estateweb.gr/app/property/54525
ORPHAN,4164,https://app.estateweb.gr/app/property/53749
ORPHAN,4042,https://app.estateweb.gr/app/property/53627

KEEP,1461,https://app.estateweb.gr/app/property/54524
ORPHAN,4136,https://app.estateweb.gr/app/property/53721
ORPHAN,4014,https://app.estateweb.gr/app/property/53599

KEEP,1525,https://app.estateweb.gr/app/property/54523
ORPHAN,4133,https://app.estateweb.gr/app/property/53718
ORPHAN,4011,https://app.estateweb.gr/app/property/53596

KEEP,1571,https://app.estateweb.gr/app/property/54522
ORPHAN,4160,https://app.estateweb.gr/app/property/53745
ORPHAN,4038,https://app.estateweb.gr/app/property/53623

KEEP,1756,https://app.estateweb.gr/app/property/54520
ORPHAN,4119,https://app.estateweb.gr/app/property/53704
ORPHAN,3997,https://app.estateweb.gr/app/property/53582

KEEP,1784,https://app.estateweb.gr/app/property/54518
ORPHAN,4155,https://app.estateweb.gr/app/property/53740
ORPHAN,4033,https://app.estateweb.gr/app/property/53618

KEEP,1802,https://app.estateweb.gr/app/property/54517
ORPHAN,4116,https://app.estateweb.gr/app/property/53701
ORPHAN,3994,https://app.estateweb.gr/app/property/53579

KEEP,1839,https://app.estateweb.gr/app/property/54513
ORPHAN,4111,https://app.estateweb.gr/app/property/53696
ORPHAN,3989,https://app.estateweb.gr/app/property/53574

KEEP,1857,https://app.estateweb.gr/app/property/54512
ORPHAN,4109,https://app.estateweb.gr/app/property/53694
ORPHAN,3987,https://app.estateweb.gr/app/property/53572

KEEP,1874,https://app.estateweb.gr/app/property/54511
ORPHAN,4107,https://app.estateweb.gr/app/property/53692
ORPHAN,3985,https://app.estateweb.gr/app/property/53570

KEEP,1879,https://app.estateweb.gr/app/property/54510
ORPHAN,4105,https://app.estateweb.gr/app/property/53690
ORPHAN,3983,https://app.estateweb.gr/app/property/53568

KEEP,1882,https://app.estateweb.gr/app/property/54509
ORPHAN,4103,https://app.estateweb.gr/app/property/53688
ORPHAN,3981,https://app.estateweb.gr/app/property/53566

KEEP,1899,https://app.estateweb.gr/app/property/54508
ORPHAN,4100,https://app.estateweb.gr/app/property/53685
ORPHAN,3978,https://app.estateweb.gr/app/property/53563

